"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF***";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
2;"REF***";"OSHW-Logo2_7.3x6mm_Copper";1;"OSHW-Logo2_7.3x6mm_Copper";;;
3;"MIC1,EAR1";"ASJ_125_3_3.5mm_Jack";2;"Audio-Jack-3";;;
4;"C101,C302";"CP_Radial_D5.0mm_P2.50mm";2;"22U";;;
5;"IC301";"TO-220-3_Vertical";1;"3V3 PSU";;;
6;"C303";"C_0603_HandSoldering";1;"10N";;;
7;"X1";"Resonator-3pin_w7.0mm_h2.5mm";1;"3.5MHz";;;
8;"J701";"Pin_Header_Straight_2x23_Pitch2.54mm";1;"Conn_02x23_Row_Letter_First";;;
9;"REF**";"MountingHole_2.7mm";1;"MountingHole_2.7mm";;;
10;"J302,J204,J203,J101";"Pin_Header_Straight_1x03_Pitch2.54mm";4;"Conn_01x03";;;
11;"S1";"EG4208";1;"EG4208A";;;
12;"J504,J503,J502";"Pin_Header_Straight_1x08_Pitch2.54mm";3;"Conn_01x08";;;
13;"C301";"CP_Radial_D5.0mm_P2.50mm";1;"47U 25V";;;
14;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"1U";;;
15;"C3";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"22uF";;;
16;"C501,C9,C4";"C_Disc_D4.7mm_W2.5mm_P5.00mm";3;"100N";;;
17;"C104";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"82P";;;
18;"C103";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"820P";;;
19;"C102,C10,C8";"C_Disc_D4.7mm_W2.5mm_P5.00mm";3;"10N";;;
20;"C12,C7";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"47P";;;
21;"C11";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"47N";;;
22;"C6";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100P";;;
23;"C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"47P";;;
24;"R504,R301,R201,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";15;"1K";;;
25;"R503,R502,R501,R302,R33";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"4K7";;;
26;"R401,R102,R101,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"10K";;;
27;"R303";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100R";;;
28;"IC801";"DIP-4_W15.24mm_Socket_LongPads";1;"AS6C4008Extra";;;
29;"D102,D101,D8,D7,D6,D5,D4,D3,D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";10;"1N4148";;;
30;"R104";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"56R";;;
31;"R103";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"68R";;;
32;"R34";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"220R";;;
33;"R30";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10R";;;
34;"R29";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1M";;;
