Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C1 ,1,"47P","Capacitors_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
C8 C10 C102 ,3,"10N","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C101 C302 ,2,"22U","Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.50mm",""
C103 ,1,"820P","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C104 ,1,"82P","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C105 ,1,"100N","Capacitors_SMD:C_0603_HandSoldering",""
C11 ,1,"47N","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C2 ,1,"100N","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
C3 ,1,"22uF","Capacitors_ThroughHole:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal",""
C301 ,1,"47U 25V","Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.50mm",""
C303 ,1,"10N","Capacitors_SMD:C_0603_HandSoldering",""
C5 ,1,"1U","Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.50mm",""
C6 ,1,"100P","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C7 C12 ,2,"47P","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
C4 C9 C501 ,3,"100N","Capacitors_ThroughHole:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
D1 D2 D3 D4 D5 D6 D7 D8 D101 D102 ,10,"1N4148","zxbus:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf"
EDGE1 ,1,"ZX81BUS","zxbus:ZX_Bus_Edge_Connector",""
IC1 ,1,"ULA 2C210E","zxbus:DIP-40_W15.24mm_Socket_LongPads",""
IC101 ,1,"555","Housings_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tlc555.pdf"
IC102 ,1,"74HCT00","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","http://www.ti.com/lit/gpn/sn74hct00"
IC2 ,1,"AT28C256","zxbus:DIP-28_W15.24mm_Socket_LongPads",""
IC3 ,1,"Z80A","zxbus:DIP-40_W15.24mm_Socket_LongPads","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080"
IC301 ,1,"3V3 PSU","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
IC302 ,1,"ESP32-WROOM","ESP32-footprints-Lib:ESP32-WROOM",""
IC303 ,1,"AZ1117-3.3","TO_SOT_Packages_SMD:SOT-23_Handsoldering","https://www.diodes.com/assets/Datasheets/AZ1117.pdf"
IC4 ,1,"62256","zxbus:DIP-28_W15.24mm_Socket_LongPads",""
IC501 ,1,"YM2149","zxbus:DIP-40_W15.24mm_Socket_LongPads",""
IC502 ,1,"GAL16V8","Housings_DIP:DIP-20_W7.62mm_Socket_LongPads",""
IC503 ,1,"YMZ284","Housings_DIP:DIP-16_W7.62mm_Socket_LongPads",""
IC801 ,1,"AS6C4008Extra","zxbus:DIP-4_W15.24mm_Socket_LongPads",""
J1 ,1,"Jack-DC","Connect:BARREL_JACK","~"
J101 J203 J204 J302 ,4,"Conn_01x03","zxbus:Pin_Header_Straight_1x03_Pitch2.54mm","~"
J301 ,1,"Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~"
J401 ,1,"DB9_Male","Connectors:DB9MC",""
J501 ,1,"Conn_01x06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~"
J502 J503 J504 ,3,"Conn_01x08","zxbus:Pin_Header_Straight_1x08_Pitch2.54mm","~"
J601 ,1,"Conn_02x08_Odd_Even","Connectors:IDC_Header_Straight_16pins","~"
J701 ,1,"Conn_02x23_Row_Letter_First","zxbus:Pin_Header_Straight_2x23_Pitch2.54mm","~"
J702 J703 ,2,"Conn_01x09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm","~"
KB1 ,1,"Conn_01x05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","~"
KB2 ,1,"Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","~"
MIC1 EAR1 ,2,"Audio-Jack-3","zxbus:ASJ_125_3_3.5mm_Jack","~"
R1 R101 R102 R401 ,4,"10K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R7 R8 R9 R10 R11 R12 R13 R14 ,8,"470R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
